"","item","Modality","Conc.M","CBOI_Mean","Max_strength.perceptual","Perceptibility"
"104","corn",NA,4.96,6.225806452,4.578947368,1.87661272339289
"105","cracker",NA,4.96,6.52,4.526315789,2.02638013083153
"106","donut",NA,4.93,6.259259259,4.55,1.86749852534033
"107","drink",NA,NA,NA,NA,NA
"108","egg",NA,4.97,6.558823529,4.0625,1.52597100518058
"109","food",NA,4.8,6.827586207,4.578947368,2.30554161748272
"110","french fries",NA,NA,NA,NA,NA
"111","grapes",NA,NA,NA,NA,NA
"112","green beans",NA,NA,NA,NA,NA
"113","gum",NA,4.89,5.846153846,3.235294118,0.0761813716071064
"114","hamburger",NA,5,6.12,4.882352941,2.14664225081712
"115","ice",NA,4.89,5.857142857,4.3125,1.31047555785925
"116","ice cream",NA,NA,NA,NA,NA
"117","jello",NA,NA,6.111111111,NA,NA
"118","jelly",NA,4.93,5.214285714,4,0.496468613000503
"119","juice",NA,4.89,6.129032258,4.75,2.00238862346676
"120","lollipop",NA,4.96,6.47826087,4,1.39738869433509
"121","meat",NA,4.9,5.451612903,4.631578947,1.3847170408147
"122","melon",NA,4.78,NA,4.444444444,NA
"123","milk",NA,4.92,6.72,4.666666667,2.32873122012497
"124","muffin",NA,4.78,5.96969697,4.388888889,1.47767363734483
"125","noodles",NA,4.96,6.607142857,4.5,2.05853064726943
"126","nuts",NA,NA,6.275862069,NA,NA
"127","orange",NA,NA,NA,NA,NA
"128","pancake",NA,4.86,6.769230769,4.294117647,1.93965256150462
"129","peanut butter",NA,NA,NA,NA,NA
"130","peas",NA,NA,6.333333333,NA,NA
"131","pickle",NA,4.64,5.739130435,4.529411765,1.4733268362751
"132","pizza",NA,5,6.75,5,2.72963363355196
"133","popcorn",NA,5,6.703703704,4.1875,1.77155662115823
"134","popsicle",NA,4.93,6.64,4.529411765,2.11543714826896
"135","potato",NA,4.85,6.114285714,4.55,1.7641661320312
"136","potato chip",NA,NA,NA,NA,NA
"137","pretzel",NA,4.74,6.52,4.5625,2.06757796061299
"138","pudding",NA,4.9,4.625,4.238095238,0.347530345227008
"139","pumpkin",NA,4.9,6.37037037,4.333333333,1.70000727687698
"140","raisin",NA,4.97,6.424242424,4.666666667,2.11792490944679
"141","salt",NA,4.89,5,4.5,0.913011871388735
"142","sandwich",NA,4.9,6.88,4.421052632,2.16312810714775
"143","sauce",NA,4.75,5.692307692,4.35,1.23568238463645
"144","sodapop",NA,NA,NA,NA,NA
"145","soup",NA,4.72,6.488372093,4.090909091,1.50810093292981
"146","spaghetti",NA,5,6.470588235,4.375,1.81887921271166
"147","strawberry",NA,5,6.791666667,4.631578947,2.33986346147393
"148","toast",NA,4.93,6.466666667,4.647058824,2.12583884973546
"149","tuna",NA,4.89,4.966666667,4.176470588,0.520895901953019
"150","vanilla",NA,4.68,NA,4.555555556,NA
"151","vitamins",NA,4.5,5.96,2.8125,-0.324048525322811
"152","water",NA,NA,NA,NA,NA
"153","yogurt",NA,4.9,6.76,4.526315789,2.19744426804492
"154","beads",NA,NA,NA,NA,NA
"155","belt",NA,4.9,5,4,0.343732776406481
"156","bib",NA,4.79,4.804878049,3.166666667,-0.744142249014457
"157","boots",NA,5,6.893617021,4.117647059,1.82738897358098
"158","button",NA,4.96,6.586206897,3.875,1.33200931214939
"159","coat",NA,4.97,6.24,4,1.227564152009
"160","diaper",NA,4.82,5.222222222,3.235294118,-0.368536648975016
"161","dress",NA,4.93,6.434782609,4.352941176,1.76824288082266
"162","gloves",NA,NA,NA,NA,NA
"163","hat",NA,4.88,5.633333333,4.470588235,1.33094411620886
"164","jacket",NA,4.86,6.885714286,4.117647059,1.82175616297931
"165","jeans",NA,5,6.041666667,4.333333333,1.46571804624139
"166","mittens",NA,NA,6.84,NA,NA
"167","necklace",NA,4.96,6.333333333,3.9375,1.22292920714828
"168","pajamas",NA,4.73,7,3.761904762,1.49818196996828
"169","pants",NA,4.86,6.857142857,3.95,1.61051545238624
"170","scarf",NA,4.97,6.24,3.88372093,1.09517366453904
"171","shirt",NA,4.94,6.782608696,4.8,2.52516440575445
"172","shoe",NA,4.97,6.818181818,4.388888889,2.08244583926881
"173","shorts",NA,4.82,6.125,4.368421053,1.56506472684274
"174","slipper",NA,4.86,6.68,3.75,1.25654218940908
"175","sneaker",NA,4.69,5.961538462,4.117647059,1.16303391312084
"176","snowsuit",NA,5,NA,3.235294118,NA
"177","sock",NA,4.91,6.826086957,4.111111111,1.77181419923088
"178","sweater",NA,4.78,6.434782609,4.105263158,1.48624704495458
"179","tights",NA,4.62,NA,4.352941176,NA
"180","underpants",NA,4.89,NA,4.111111111,NA
"181","zipper",NA,4.83,6.608695652,4,1.49035833369111
"182","ankle",NA,4.81,6.173913043,4.090909091,1.28396482427484
"183","arm",NA,4.96,6.30952381,3.939393939,1.20811491895195
"184","belly button",NA,NA,NA,NA,NA
"185","buttocksbottom",NA,NA,NA,NA,NA
"186","cheek",NA,4.83,6.03125,3.947368421,1.01884987567405
"187","chin",NA,4.89,5.777777778,4.166666667,1.08786699401891
"188","ear",NA,5,6.612903226,3.833333333,1.30359765588448
"189","eye",NA,4.9,6.47826087,4.611111111,2.09317425474245
"190","face",NA,4.87,6.730769231,4.95,2.6589986619415
"191","feet",NA,NA,NA,NA,NA
"192","finger",NA,5,6.956521739,4.105263158,1.85812560380423
"193","hair",NA,4.97,6.718309859,4.388888889,2.01126037885987
"194","hand",NA,4.72,6.75,4.25,1.87571499107858
"195","head",NA,4.75,6.659090909,4.473684211,2.06559545974184
"196","knee",NA,5,6.608695652,4.25,1.77499788118224
"197","leg",NA,4.83,6.666666667,3.823529412,1.33075614070403
"198","lips",NA,NA,6.379310345,NA,NA
"199","mouth",NA,4.74,6.909090909,2.947368421,0.505987926162475
"200","nose",NA,4.89,6.681818182,4.238095238,1.81356296067969
"201","owie boo boo",NA,NA,NA,NA,NA
"202","penis",NA,5,NA,4.352941176,NA
"203","shoulder",NA,4.93,6.461538462,4.052631579,1.44539362508692
"204","tooth",NA,4.89,6.68,3.375,0.829582868172394
"205","toe",NA,4.93,6.72,4.368421053,1.98916123368427
"206","tongue",NA,4.93,6.433333333,3.363636364,0.640828788296579
"207","tummy",NA,4.68,6.32,3.315789474,0.505572033042903
"208","vagina",NA,4.82,NA,4.55,NA
"209","basement",NA,4.89,6.111111111,4.15,1.3064801030321
"210","bathroom",NA,4.52,6.239130435,4.7,2.0239350875405
"211","bed",NA,5,6.666666667,4.421052632,2.01107109652899
"212","bedroom",NA,4.9,6.481481481,4.529411765,2.0024503412478
"213","bench",NA,4.87,5.035714286,3.894736842,0.249340518767313
"214","closet",NA,4.83,5.92,4.142857143,1.16212980588206
"215","couch",NA,4.71,6.59375,4.105263158,1.59955379323158
"216","dryer",NA,4.79,5.56097561,4.058823529,0.810551823455401
"217","porch",NA,4.92,4.666666667,4.4,0.561566973166832
"218","room",NA,4.79,6.08,3.95,1.05659348436851
"219","shower",NA,4.89,6.3,3.761904762,0.999244903095895
"220","sofa",NA,4.9,6.48,4.166666667,1.58838798792933
"221","washing machine",NA,NA,NA,NA,NA
"222","chair",NA,4.58,6.785714286,4.35,2.01502678307829
"223","crib",NA,4.86,4.375,3.647058824,-0.503590814097227
"224","door",NA,4.81,6.791666667,4.647058824,2.35748820221192
"225","drawer",NA,4.67,5.739130435,3.647058824,0.46871666886028
"226","garage",NA,4.96,5.913043478,3.722222222,0.6782540906177
"227","high chair",NA,NA,NA,NA,NA
"228","kitchen",NA,4.97,6.153846154,4.444444444,1.6721823748194
"229","living room",NA,NA,NA,NA,NA
"230","oven",NA,4.97,5.375,4.368421053,1.0304892980509
"231","play pen",NA,NA,NA,NA,NA
"232","potty",NA,4.12,6.266666667,3.25,0.392652636130248
"233","refrigerator",NA,5,6.269230769,3.777777778,0.995385955654906
"234","rocking chair",NA,NA,NA,NA,NA
"235","sink",NA,4.74,6.173913043,4.105263158,1.30030776481699
"236","stairs",NA,5,6.319148936,3.7,0.942411463553803
"237","stove",NA,4.96,5.321428571,3.411764706,-0.0969035803123655
"238","table",NA,4.9,6.575757576,4.736842105,2.30581876558118
"239","TV",NA,NA,NA,NA,NA
"240","window",NA,4.86,6.185185185,4.705882353,1.9921820818582
"241","basket",NA,5,5.913043478,4.625,1.70611912347756
"242","blanket",NA,5,6.8,4.157894737,1.80648615147055
"243","bottle",NA,4.91,6.4,4.176470588,1.54252894340651
"244","bowl",NA,4.87,6.866666667,4.526315789,2.27347277371069
"245","box",NA,4.9,6.8,4.368421053,2.0461826127554
"246","broom",NA,4.89,5.615384615,4.166666667,0.972118467694124
"247","brush",NA,4.54,6.692307692,3.388888889,0.854168696130637
"248","bucket",NA,4.96,6.357142857,3.941176471,1.24408573198433
"249","camera",NA,5,6.08,4.4,1.56894466985254
"250","can",NA,NA,NA,NA,NA
"251","clock",NA,5,5.925925926,4.315789474,1.36324713356168
"252","comb",NA,5,6.085106383,4.157894737,1.29693340233945
"253","cup",NA,5,6.857142857,4.5,2.23672245686672
"254","dish",NA,4.9,6.740740741,4,1.58447574712049
"255","fork",NA,4.9,6.8,4.111111111,1.75322027093201
"256","garbage",NA,4.69,6.166666667,4.578947368,1.83445982215951
"257","glass",NA,4.82,5.444444444,4.210526316,0.900214676658608
"258","glasses",NA,4.9,6.423076923,4.55,1.98426238930896
"259","hammer",NA,4.77,5.37037037,4.210526316,0.847417103497396
"260","jar",NA,5,6.038461538,4.529411765,1.68668023992438
"261","keys",NA,NA,6.307692308,NA,NA
"262","knife",NA,4.9,4.90625,4.5,0.846189942789755
"263","lamp",NA,4.97,5.96,4.705882353,1.83167745941961
"264","light",NA,4.21,5.666666667,4.6,1.50204584954886
"265","medicine",NA,4.79,5.32,3.9,0.457962473694551
"266","money",NA,4.54,6,4.333333333,1.43601941107092
"267","mop",NA,4.97,5.1875,3.684210526,0.117831941677159
"268","nail",NA,4.93,5.269230769,4.571428571,1.18623632760776
"269","napkin",NA,4.93,6.32,4.375,1.71154485231682
"270","paper",NA,4.93,6.739130435,4.315789474,1.94287266568719
"271","penny",NA,4.83,5.2,4.470588235,1.0220783131445
"272","picture",NA,4.52,6.204545455,4.631578947,1.92138269659701
"273","pillow",NA,5,6.814814815,4.882352941,2.64188348769652
"274","plant",NA,4.76,6.033333333,4.292682927,1.41349546610296
"275","plate",NA,4.77,6.956521739,4.45,2.25062855864583
"276","purse",NA,4.9,5.62962963,4.611111111,1.48829770939691
"277","radio",NA,4.74,5.75,4.722222222,1.70060023103079
"278","scissors",NA,4.85,6,3.380952381,0.351678278205129
"279","soap",NA,4.93,6.68,3.952380952,1.4869646798015
"280","spoon",NA,4.96,6.931818182,4.333333333,2.10018888333584
"281","tape",NA,4.9,6.035714286,3.789473684,0.84225952651401
"282","telephone",NA,4.96,5.730769231,4.15,1.03538487158077
"283","tissuekleenex",NA,NA,NA,NA,NA
"284","toothbrush",NA,5,7,4.058823529,1.8362412638903
"285","towel",NA,4.86,6.8,4.347826087,2.02273404554406
"286","trash",NA,4.7,5.5,3.875,0.557796621855481
"287","tray",NA,4.74,4.458333333,3.684210526,-0.401894169885834
"288","vacuum",NA,4.22,6.34375,3.5,0.732234658009615
"289","walker",NA,4.42,NA,3.764705882,NA
"290","watch",NA,NA,NA,NA,NA
"291","backyard",NA,4.57,6.4,4.7,2.13859764312641
"292","beach",NA,4.79,4.888888889,4.444444444,0.770562278365086
"293","church",NA,4.9,3.407407407,4.25,-0.506775500493978
"294","flower",NA,5,6.652173913,4.388888889,1.9641208432712
"295","garden",NA,4.73,6.16,3.85,0.999759044443191
"296","home",NA,4.11,6.185185185,4,1.18849394769864
"297","house",NA,5,5.9375,4.875,2.00819047861523
"298","moon",NA,4.9,2.913043478,4.777777778,-0.258236201303336
"299","park",NA,4.74,6.347826087,4.117647059,1.43836707681598
"300","party",NA,3.89,5.307692308,4.705882353,1.36673390721278
"301","pool",NA,4.77,5.76,4.294117647,1.22030593338716
"302","rain",NA,4.97,6.538461538,4.0625,1.51145764508741
"303","rock",NA,4.91,6.72,4.1,1.68354824543223
"304","school",NA,4.79,6.555555556,3.5,0.883202719235208
"305","shovel",NA,4.97,6.230769231,4,1.22098476228066
"306","sky",NA,4.45,3.541666667,4.736842105,0.1432181673517
"307","slide",NA,NA,NA,NA,NA
"308","snow",NA,4.85,6.457142857,4.095238095,1.49077057958768
"309","star",NA,4.69,3.538461538,4.444444444,-0.191978095252326
"310","store",NA,4.5,5.4,3.944444444,0.5655864384803
"311","sun",NA,4.83,3.6,4.7,0.142849375636862
"312","swing",NA,NA,NA,NA,NA
"313","tree",NA,5,6.666666667,4.75,2.38559681643266
"314","work",NA,NA,NA,NA,NA
"315","zoo",NA,4.81,5.355555556,3.533333333,0.0658339724542213
"316","camping",NA,4,NA,4,NA
"317","circus",NA,4.43,3.307692308,4.235294118,-0.594592658625658
"318","cloud",NA,4.54,2.9,4.9,-0.128376053242625
"319","country",NA,NA,NA,NA,NA
"320","downtown",NA,4.39,3.408163265,4.3125,-0.435076862801922
"321","farm",NA,4.59,5,4,0.343732776406481
"322","flag",NA,4.79,5.260869565,4.166666667,0.719431754538242
"323","gas station",NA,NA,NA,NA,NA
"324","grass",NA,4.93,6.782608696,4.411669064,2.08302703815506
"325","hose",NA,4.87,5.391304348,3.823529412,0.421719662644847
"326","ladder",NA,5,5.444444444,4.631578947,1.37960759808976
"327","lawn mower",NA,NA,NA,NA,NA
"328","movie",NA,4.59,5.28,4.823529412,1.48094375986469
"329","outside",NA,4.25,6,4.421052632,1.53589293736532
"330","picnic",NA,4.83,4.956521739,4.05,0.369670805881775
"331","playground",NA,4.77,6.84,4.2,1.88293613303537
"332","roof",NA,4.79,4.148148148,4.105263158,-0.143591085017793
"333","sandbox",NA,4.86,5.966666667,3.4,0.349606193108187
"334","sidewalk",NA,4.96,5.606060606,4.5,1.34499201582379
"335","snowman",NA,4.64,6.793103448,3.894736842,1.50194993854103
"336","sprinkler",NA,4.89,5.738095238,4.526315789,1.46906403293749
"337","stick",NA,4.59,6.466666667,4.111111111,1.51563119170656
"338","stone",NA,4.72,5.636363636,4.111111111,0.923818393274569
"339","street",NA,4.75,6.0625,4.117647059,1.23499598974461
"340","wind",NA,3.93,4.6875,3.6875,-0.234806419954029
"341","woods",NA,4.87,NA,3.882352941,NA
"342","yard",NA,4.82,5.75862069,4.777777778,1.76999800971693
"343","aunt",NA,4.17,5.769230769,3.166666667,-0.0567832239470158
"344","baby",NA,5,6.020833333,4.380952381,1.50508578539849
"345","babysitter",NA,4.57,NA,3.842105263,NA
"346","babysitters name",NA,NA,NA,NA,NA
"347","boy",NA,4.76,6.173913043,4,1.18045953417457
"348","brother",NA,4.43,5.805555556,3.842105263,0.738134039461976
"349","child",NA,4.78,5.964285714,4.2,1.25875567978525
"350","clown",NA,4.9,4.411764706,4.05,-0.0186141601226889
"351","cowboy",NA,4.72,4.875,3.882352941,0.120688849058153
"352","daddy",NA,4.24,6.826086957,3.944444444,1.58205450052394
"353","doctor",NA,4.69,6.04,4,1.08501070433117
"354","fireman",NA,4.8,5.115384615,4.444444444,0.932001011493046
"355","friend",NA,3.07,6.391304348,3.736842105,1.03578835768315
"356","girl",NA,4.85,5.52173913,4.5,1.28489043023838
"357","grandma",NA,4.54,6.64,4.235294118,1.78056709246402
"358","grandpa",NA,4.39,6.577777778,3.105263158,0.449611126701192
"359","lady",NA,4.33,4.730769231,4.117647059,0.285781927246659
"360","mailman",NA,4.57,5.142857143,3.888888889,0.319050202281646
"361","man",NA,4.79,6.2,4.058823529,1.266027473179
"362","mommy",NA,4.07,6.6,3.9,1.37030453883263
"363","nurse",NA,4.39,4.666666667,3.904761905,-0.00229041587783893
"364","childs own name",NA,NA,NA,NA,NA
"365","people",NA,4.82,6.208333333,4.166666667,1.39475288792936
"366","person",NA,4.72,6.037037037,4.454545455,1.60042525187761
"367","pets name",NA,NA,NA,NA,NA
"368","police",NA,4.79,4.457142857,4.388888889,0.39957461930771
"369","sister",NA,4,6.083333333,4.210526316,1.35559374570863
"370","teacher",NA,4.52,5.939393939,4.05,1.07022990956522
"371","uncle",NA,4.24,5.310344828,4.15,0.735720130903066
"372","bath",NA,4.85,6.678571429,4.157894737,1.71993584425734
"373","breakfast",NA,4.43,6.869565217,4.625,2.38789648184375
"374","bye or bye bye",NA,NA,NA,NA,NA
"375","call",NA,4,3.633333333,4.55,-0.00417544514909995
"376","dinner",NA,4.5,6.16,4.823529412,2.10817892964712
"377","dont",NA,NA,NA,NA,NA
"378","hello",NA,2.8,4.461538462,3.764705882,-0.307961012111915
"379","hi",NA,2.67,3.52173913,3.473684211,-1.30916429359571
"380","lunch",NA,4.31,6.565217391,4.777777778,2.34491371278248
"381","nap",NA,4.03,4.395348837,3.238095238,-0.95471566998186
"382","night night",NA,NA,NA,NA,NA
"383","no",NA,2.45,3.6,4.222222222,-0.401128426488083
"384","patty cake",NA,NA,NA,NA,NA
"385","peekaboo",NA,3.23,NA,3.764705882,NA
"386","please",NA,1.64,3.166666667,2.842105263,-2.28133769633081
"387","shhshushhush",NA,NA,NA,NA,NA
"388","thank you",NA,NA,NA,NA,NA
"389","wait","abstract",2.68,3.565217391,1.736842105,-3.25567021803428
"390","wannawant to",NA,NA,NA,NA,NA
"391","yes",NA,2.14,4.76,4.222222222,0.425681570043302
"392","give me five",NA,NA,NA,NA,NA
"393","gonna get you",NA,NA,NA,NA,NA
"394","go potty",NA,NA,NA,NA,NA
"395","shopping",NA,3.44,3.92,3.705882353,-0.760925896858714
"396","snack",NA,4.36,6.608695652,4.684210526,2.26937183172834
"397","so big",NA,NA,NA,NA,NA
"398","this little piggy",NA,NA,NA,NA,NA
"399","turn around",NA,NA,NA,NA,NA
"400","bite",NA,4.44,5.153846154,3.125,-0.542849141489095
"401","blow",NA,3.74,3.791666667,3.588235294,-0.986345714764084
"402","break",NA,3.71,4.181818182,2.764705882,-1.64589465357346
"403","bring",NA,2.55,3.933333333,2.9,-1.6689662870738
"404","bump",NA,4.1,4.4,3.923076923,-0.171508965942614
"405","clean",NA,NA,NA,NA,NA
"406","close",NA,3.2,3.76,3.842105263,-0.719870945159676
"407","cry",NA,4,4.395833333,4.0625,-0.0157375434850894
"408","dance",NA,4.32,4.78125,4.473684211,0.727131980899786
"409","draw",NA,3.97,5.16,4.0625,0.528935421421523
"410","drive",NA,3.86,4.178571429,4.111111111,-0.115248132254009
"411","eat",NA,4.44,5.791666667,4.526315789,1.50724799244238
"412","fall",NA,4.04,4,4.166666667,-0.179274763275706
"413","feed",NA,4.17,3.96,3.176470588,-1.33518130822746
"414","finish","abstract",2.89,3.777777778,3.0625,-1.594825484558
"415","get",NA,2.38,3.423076923,2.470588235,-2.52157062120771
"416","give",NA,2.83,3.607142857,3.555555556,-1.15507602458062
"417","go",NA,3.15,3.444444444,2.421052632,-2.5627397187638
"418","help",NA,2.56,3.642857143,3.153846154,-1.5869895812102
"419","hit",NA,4.11,4.322580645,3.15,-1.10688400795804
"420","hug",NA,4.14,6.217391304,4.4375,1.70956862230697
"421","hurry",NA,2.63,3.458333333,2.863636364,-2.04893284089332
"422","jump",NA,4.52,4.806451613,3.944444444,0.14252459382799
"423","kick",NA,4.33,5,3.631578947,-0.0757360308420166
"424","kiss",NA,4.48,5.739130435,3.833333333,0.680801036663847
"425","look","visual",2.96,4.565217391,4.222222222,0.286846907740144
"426","love","abstract",2.07,4.395759717,4.388888889,0.355822728126256
"427","open",NA,3.21,3.577777778,3.411764706,-1.33972074075398
"428","play",NA,3.24,5.461538462,3.75,0.388062723885459
"429","pull",NA,3.97,3.791666667,4.388888889,-0.0747550068523073
"430","push",NA,4.21,4.148148148,3.944444444,-0.326692548942052
"431","put",NA,2.5,2.419354839,3.176470588,-2.433302704971
"432","read",NA,3.56,4.735294118,4.5,0.724338190890237
"433","ride",NA,3.75,4.367346939,2.45,-1.8719667931859
"434","run",NA,4.31,5.652173913,3.555555556,0.302555113624499
"435","say",NA,2.58,2.933333333,3.9,-1.24317533549842
"436","see","visual",3.21,4.692307692,5,1.26297796972425
"437","show",NA,3.97,4.37037037,4.466666667,0.426280559519704
"438","sing",NA,4.34,4.173913043,4.875,0.751163473615259
"439","sleep",NA,4.44,4.966666667,3.523809524,-0.222196697735131
"440","smile",NA,4.5,5.148148148,4.7,1.24631865570406
"441","splash",NA,4.19,5.260869565,3.05,-0.551958224634979
"442","stop",NA,3.68,4.483870968,3.5625,-0.522266296494083
"443","swim",NA,4.43,4.965517241,3.3,-0.477836137473142
"444","take",NA,3.06,4,3.421052632,-1.02819972937744
"445","throw",NA,4.04,4.653846154,4,0.0970056555352868
"446","tickle",NA,3.85,5.238095238,4,0.513439261669343
"447","touch",NA,3.86,4.869565217,4.875,1.24700155255663
"448","walk",NA,4.07,5.821428571,3.117647059,-0.0753900169227432
"449","wash",NA,4.35,5.2,3.25,-0.367632418389074
"450","wipe",NA,4,4.608695652,3.882352941,-0.0691241656368235
"451","write",NA,4.22,4.48,3.651162791,-0.424077648827174
"452","build",NA,3.71,4.391304348,3.529411765,-0.625917631549219
"453","buy",NA,3.35,3.541666667,3.555555556,-1.20174530770716
"454","carry",NA,4.04,4.793103448,3.047619048,-0.888077440460585
"455","catch",NA,4.11,4.956521739,4.058823529,0.379716907089114
"456","chase",NA,3.48,4.47826087,3.470588235,-0.630911883347479
"457","clap",NA,4.16,6.192307692,4.625,1.90516950607125
